,characteristics_bedrooms,characteristics_bathrooms,characteristics_garages,characteristics_area,location_lat,location_lng,price,neighborhood_name,district_name,extras_Terreno
506,4,5,2,350.0,-17.731316,-63.171989,370000.0,Barrio Santa Isabel.,Distrito 5,350.0
511,4,3,2,235.0,-17.800552,-63.154495,175000.0,Barrio Los Penocos,Distrito Municipal 3,350.0
513,3,4,3,359.0,-17.753771,-63.193829,310000.0,Barrio el Manchon,Distrito Municipal 1,359.0
514,3,2,2,397.0,-17.687424,-63.15276,96000.0,Barrio Santa Isabel.,Distrito 5,397.0
516,4,4,2,350.0,-17.762604,-63.236588,338000.0,Desconocido,Desconocido,350.0
518,4,5,0,367.0,-17.787268,-63.183064,250000.0,Barrio FÃ© y AlegrÃ­a,Distrito 11,367.0
520,3,3,2,220.0,-17.706532,-63.189411,180000.0,Barrio Santa Isabel.,Distrito 5,220.0
522,3,4,2,390.0,-17.689837,-63.161308,248000.0,Barrio Santa Isabel.,Distrito 5,390.0
523,8,6,0,444.0,-17.759283,-63.182545,270000.0,BARRIO EQUIPETROL,Distrito Municipal 1,444.0
525,4,5,2,416.0,-17.766148,-63.1842,365000.0,BARRIO EQUIPETROL,Distrito Municipal 1,340.0
526,4,4,3,420.0,-17.751509,-63.228561,250000.0,Desconocido,Desconocido,600.0
527,3,4,4,325.0,-17.769634,-63.225624,380000.0,Desconocido,Desconocido,325.0
528,4,4,4,336.0,-17.699215,-63.182598,138000.0,Barrio Santa Isabel.,Distrito 5,336.0
529,6,3,1,205.0,-17.732681,-63.143497,143000.0,Barrio Santa Isabel.,Distrito 5,384.0
532,5,4,3,629.0,-17.796078,-63.200478,468000.0,BARRIO URBARI,Distrito Municipal 4Â ,629.0
533,3,4,2,254.0,-17.738457,-63.182995,230000.0,Barrio Santa Isabel.,Distrito 5,254.0
534,4,4,2,200.0,-17.762932,-63.223709,185000.0,Desconocido,Desconocido,200.0
539,7,6,1,453.0,-17.79793,-63.172752,320000.0,Barrio Lindo,Distrito 11,453.0
540,4,4,2,244.0,-17.694143,-63.169456,225000.0,Barrio Santa Isabel.,Distrito 5,244.0
542,6,4,3,272.0,-17.836212,-63.23468,100000.0,Barrio Madre India,Distrito 10,272.0
